#separator:tab
#html:true
#notetype:Basic
#deck:neetcode 150
#tags column:3
<b>Contains Duplicate</b></br>Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.	<b>OPTIMIZED</b></br>Add chars to HashSet while iterating. If already present, return True</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(n)</br><b>BRUTE FORCE</b></br>Iterate through array, for each element, check if it is present in the rest of the array, return True if found, otherwise False</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Arrays&Hashing
<b>Valid Anagram</b></br>Given two strings s and t, return true if t is an anagram of s, and false otherwise.	<b>OPTIMIZED</b></br>If lengths of s and t are not same, return False. Use counter(HashMap) to track character frequencies by incrementing for characters in s and decrementing for those in t. if any counts are not zero, return False; otherwise, return True</br><b>COMPLEXITY</b></br>Time: O(n+m); Space: O(1)</br><b>BRUTE FORCE</b></br>Return False is unequal lengths. Sort both strings, compare each character, return False on mismatch, else True</br><b>COMPLEXITY</b></br>Time: O(nlogn + mlogm); Space: O(1)	Arrays&Hashing
<b>Two Sum</b></br>Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target .You may assume that each input would have exactly one solution , and you may not use the same element twice.You can return the answer in any order.	<b>OPTIMIZED</b></br>Store difference between the target and each number (target - num) in a HashMap with the current index as value. If the required value is already in the HashMap, return a list of indices of the pair that is found</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(n)</br><b>BRUTE FORCE</b></br>For each element(i), iterate through rest of the array(j), searching for a sum of target. Return indices(i, j) if found, else []</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Arrays&Hashing
<b>Group Anagrams</b></br>Given an array of strings strs, group the anagrams together. You can return the answer in any order.	<b>OPTIMIZED</b></br>Use a HashMap with char_count[26] tuples as keys, appending words that match the count. Finally, return the HashMap's values.</br><b>COMPLEXITY</b></br>Time: O(m*n); Space: O(m)</br><b>BRUTE FORCE</b></br>Create a defaultdict(list) for res. Iterate through strs, sort each str using it as the dict key, append str to the value list. return values</br><b>COMPLEXITY</b></br>Time: O(m * nlogn); Space: O(m*n)	Arrays&Hashing
<b>Top K Frequent Elements</b></br>Given an integer array nums and an integer k, return the k most frequent elements . You may return the answer in any order . 	<b>OPTIMIZED</b></br>First create a num_count HashMap, from which create an ordered map of counts with corresponding numbers (List[List]). Iterate in reverse, appending numbers to the result, and return when enough values are collected</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(n)</br><b>BRUTE FORCE</b></br>Create a freq map. Maintain a maxHeap(based on freq) of len k, while appending pairs(frequency, char). Iterate k times popping from heap and pushing char to res</br><b>COMPLEXITY</b></br>Time: O(n logk); Space: O(n+k)	Arrays&Hashing
<b>String Encode and Decode</b></br>Design an algorithm to encode a list of strings to a single string. The encoded string is then decoded back to the original list of strings.Please implement encode and decode	 <b>OPTIMIZED</b></br>Use the format <len#word>; for encoding. To decode, use two pointers and two while loops to read the length, then append the word slice to the result</br><b>COMPLEXITY</b></br>Time: O(m); Space: O(1), where m- sum of lengths of all strings</br><b>BRUTE FORCE</b></br></br><b>COMPLEXITY</b></br> 	Arrays&Hashing
<b>Product of Array Except Self</b></br>Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i].The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer.You must write an algorithm that runs in O(n) time and without using the division operation. 	<b>OPTIMIZED</b></br>Initialize prod = 1. Loop L-R. First update ans array, ans[i] *= prod. Then update prod, prod *= nums[i], to use in the next iteration. Repeat the process R-L</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(1)</br><b>BRUTE FORCE</b></br>Iterate through nums in nested loops, if i ==j continue otherwise multiply with running sum, add to res[i] at end of j loop</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Arrays&Hashing
<b>Valid Sudoku</b></br>Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules :<ol><li>Each row must contain the digits 1-9 without repetition.</li><li>Each column must contain the digits 1-9 without repetition.</li><li>Each of the nine 3 x 3 sub-boxes of the grid must contain the digits 1-9 without repetition.</li></ol> Note: <ul><li>A Sudoku board (partially filled) could be valid but is not necessarily solvable.</li><li>Only the filled cells need to be validated according to the mentioned rules.</li></ul> 	<b>OPTIMIZED</b></br>Create 3 HashMaps of hash sets for- rows, cols & squares. For squares, use tuple (i // 3, j // 3) as the key. If duplicate in any of the 3 hashsets return False, otherwise add to all 3 maps. Return True at the end</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(n^2)</br><b>BRUTE FORCE</b></br>Similar logic to optimized, but execute across 3 loops</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(n^2)	Arrays&Hashing
<b>Longest Consecutive Sequence</b></br>Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence. You must write an algorithm that runs in O(n) time. 	<b>OPTIMIZED</b></br>Convert nums to a set. For each number, check if num-1 is present (indicating the start of a sequence). If yes, iteratively check until there are no more num+1 elements in the set. Then update the longest sequence length</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(n)</br><b>BRUTE FORCE</b></br>Convert nums to hashset. For each num, check for the longest, streak by adding 1 and checking for existence in hashset.</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(n)	Arrays&Hashing
<b>Valid Palindrome</b></br>A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.<br>Given a string s, return true if it is a palindrome , or false otherwise . 	<b>OPTIMIZED</b></br>Iterate with L & R pointers, skip invalid characters with ASCII range checks, compare in lowercase, finally return True if no mismatches found</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(1)</br><b>BRUTE FORCE</b></br>Iterate through string and create a new string of valid characters. Compare using 2 pointers</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(n)	Two-Pointers
<b>Two Sum II - Input Array Is Sorted</b></br>Given a 1-indexed array of integers numbers that is already sorted in non-decreasing order, find two numbers such that they add up to a specific target number. Let these two numbers be numbers[index1] and numbers[index2] where 1 <= index1 < index2 <= numbers.length.<br>Return the indices of the two numbers, index1 and index2 , added by one as an integer array [index1, index2] of length 2. The tests are generated such that there is exactly one solution . You may not use the same element twice.Your solution must use only constant extra space. 	<b>OPTIMIZED</b></br>Iterate with L & R pointers, adjust pointers based on cur_sum relative to target, and return indices if they match</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(1)</br><b>BRUTE FORCE</b></br>Nested loops, for each i we start j from i + 1, and return when we find a match</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Two-Pointers
<b>3Sum</b></br>Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.<br>Notice that the solution set must not contain duplicate triplets. 	<b>OPTIMIZED</b></br>Sort the array and iterate through nums, skipping duplicates. For each nums[i], set target = -nums[i] and iterate using L & R pointers to find pairs that sum to the target. Add indices on a match, and skip duplicates for L followed by R pointers</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)</br><b>BRUTE FORCE</b></br>Use 3 loops, i = 0, j = i + 1 and k = j + 1. Find number[i] + number[j] + number[k] == target</br><b>COMPLEXITY</b></br>Time: O(n^3); Space: O(1)	Two-Pointers
<b>Container With Most Water</b></br>You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).<br>Find two lines that together with the x-axis form a container, such that the container contains the most water.Return the maximum amount of water a container can store . Notice that you may not slant the container. 	<b>OPTIMIZED</b></br>Iterate with L & R pointers, calculate the current area and update max_area if larger, then move pointer with the lower height</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(1)</br><b>BRUTE FORCE</b></br>Use nested for loops, the outer loop for l and inner for right. Calculate the max_area for each pointer widths. Return max_area at the end</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Two-Pointers
<b>Trapping Rain Water</b></br>Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.<br> 	<b>OPTIMIZED</b></br>Create left_max and right_max arrays(based on height[i-1]). Iterate len(height), calculating running sum of trapped_water(min(left_max, right_max) - height). Return trapped_water</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(n) or O(1)</br><b>BRUTE FORCE</b></br>For each height, calculate left_max from index 0 and right_max using index len(height)-1. Compute running total for trapped_water, using same formula as optimized</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Two-Pointers
<b>Best Time to Buy and Sell Stock</b></br>You are given an array prices where prices[i] is the price of a given stock on the ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0. 	<b>OPTIMIZED</b></br>Set buy to prices[0], iterate through prices calculating profit, and update if larger</br><b>COMPLEXITY</b></br>Time: O(n); Space: O(1)</br><b>BRUTE FORCE</b></br>Use nested loops, 1 to track buy and other to track sell(starting from i+1). Calculate profit and maintain a running max. Return max_profit at the end.</br><b>COMPLEXITY</b></br>Time: O(n^2); Space: O(1)	Sliding-Window
